index,type,name,resident,streamed,parentStack
1,string,,11407,0,||assetlist
2,rawfile,mod.cfg,17,0,|zone_source/core_mod.zone|csv
3,rawfile,cp_mod.cfg,16,0,|zone_source/core_mod.zone|csv
4,rawfile,mp_mod.cfg,16,0,|zone_source/core_mod.zone|csv
5,rawfile,zm_mod.cfg,16,0,|zone_source/core_mod.zone|csv
6,techset,mc/skin#e6142445,1276899,0,|mc/vert_face00_tex|material|c_t7_zm_dlchd_waw_takeo_mpc_fb|xmodel|zone_source/core_mod.zone|csv
7,image,$white_ao,130,0,|mc/neptune_ultra_acce|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
8,image,$white_thickness,273,0,|mc/vert_face00_tex|material|c_t7_zm_dlchd_waw_takeo_mpc_fb|xmodel|zone_source/core_mod.zone|csv
9,image,$gray_32_one_channel,306,0,|mc/neptune_ultra_acce|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
10,image,i_neptune_body00_tex_n,210,1398128,|mc/neptune_body00_tex_socks|material|c_t7_zm_dlchd_richtofen_waw_viewlegs|xmodel|zone_source/core_mod.zone|csv
11,image,i_neptune_body00_tex_g,271,218440,|mc/neptune_body00_tex_socks|material|c_t7_zm_dlchd_richtofen_waw_viewlegs|xmodel|zone_source/core_mod.zone|csv
12,image,i_neptune_body00_tex_c,287,1419960,|mc/neptune_body00_tex_socks|material|c_t7_zm_dlchd_richtofen_waw_viewlegs|xmodel|zone_source/core_mod.zone|csv
13,image,$identitynormalmap,371,0,|mc/neptune_ultra_hair|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
14,material,mc/neptune_body00_tex_skin,1100,0,|c_t7_zm_dlchd_richtofen_waw_viewlegs|xmodel|zone_source/core_mod.zone|csv
15,techset,mc/lit_plus_cc#e6142445,382472,0,|mc/neptune_ultra_acce|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
16,image,$black,143,0,|mc/neptune_ultra_acce|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
17,material,mc/neptune_body00_tex,1497,0,|c_t7_zm_dlchd_takeo_waw_viewhands|xmodel|zone_source/core_mod.zone|csv
18,material,mc/neptune_body00_tex_socks,928,0,|c_t7_zm_dlchd_richtofen_waw_viewlegs|xmodel|zone_source/core_mod.zone|csv
19,image,i_neptune_face00_tex_n,239,393216,|mc/vert_face00_tex|material|c_t7_zm_dlchd_waw_takeo_mpc_fb|xmodel|zone_source/core_mod.zone|csv
20,image,i_neptune_face00_tex_g,271,218440,|mc/uzume_face|material|c_t7_mp_firebreak_mpc_head2_skin9|xmodel|zone_source/core_mod.zone|csv
21,image,i_neptune_face00_tex_c,287,371384,|mc/neptune_face00_tex|material|c_t7_zm_dlchd_richtofen_waw_mpc_fb|xmodel|zone_source/core_mod.zone|csv
22,material,mc/neptune_face00_tex,643,0,|c_t7_zm_dlchd_richtofen_waw_mpc_fb|xmodel|zone_source/core_mod.zone|csv
23,techset,mc/lit_emissive#e6142445,700913,0,|mc/vert_face01_tex|material|c_t7_zm_dlchd_waw_takeo_mpc_fb|xmodel|zone_source/core_mod.zone|csv
24,image,$camo_base_gloss,105,0,|mc/vert_face01_tex|material|c_t7_zm_dlchd_waw_takeo_mpc_fb|xmodel|zone_source/core_mod.zone|csv
25,image,i_neptune_face01_tex_c,239,393216,|mc/neptune_face01_tex|material|c_t7_zm_dlchd_richtofen_waw_mpc_fb|xmodel|zone_source/core_mod.zone|csv
26,image,$camo_base_mask,320,0,|mc/vert_face01_tex|material|c_t7_zm_dlchd_waw_takeo_mpc_fb|xmodel|zone_source/core_mod.zone|csv
27,image,$camo_base_normal,322,0,|mc/vert_face01_tex|material|c_t7_zm_dlchd_waw_takeo_mpc_fb|xmodel|zone_source/core_mod.zone|csv
28,material,mc/neptune_face01_tex,1245,0,|c_t7_zm_dlchd_richtofen_waw_mpc_fb|xmodel|zone_source/core_mod.zone|csv
29,image,i_neptune_hair00_tex_g,2911,0,|mc/neptune_ultra_hair|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
30,image,i_neptune_hair00_tex_c,111,393216,|mc/neptune_hair00_tex|material|c_t7_zm_dlchd_richtofen_waw_mpc_fb|xmodel|zone_source/core_mod.zone|csv
31,material,mc/neptune_hair00_tex,930,0,|c_t7_zm_dlchd_richtofen_waw_mpc_fb|xmodel|zone_source/core_mod.zone|csv
32,image,i_neptune_acc00_tex_n,118,131072,|mc/neptune_ultra_acce|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
33,image,i_neptune_acc00_tex_g,270,87368,|mc/neptune_ultra_acce|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
34,image,i_neptune_acc00_tex_c,286,109240,|mc/nepgear_acc00_tex|material|c_zom_zod_femme_mpc_fb|xmodel|zone_source/core_mod.zone|csv
35,material,mc/neptune_acc00_tex,1342,0,|c_zom_dlc3_richtofen_cin_fb|xmodel|zone_source/core_mod.zone|csv
36,xmodelmesh,xmodel_neptune9546087d,912,743760,|c_54i_cqb_mpc_fb_fe|xmodel|zone_source/core_mod.zone|csv
37,xmodel,c_54i_cqb_mpc_fb_fe,18252,0,|zone_source/core_mod.zone|csv
38,image,$gloss,143,0,|mc/neptune_ultra_body|material|c_hro_krueger_base_fb|xmodel|zone_source/core_mod.zone|csv
39,image,i_if_body_c,228,5613232,|mc/if_body|material|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
40,material,mc/if_body,1329,0,|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
41,image,i_if_face_c,92,1441792,|mc/if_face|material|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
42,material,mc/if_face,1068,0,|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
43,image,i_if_hair_c,268,1441792,|mc/if_hair|material|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
44,material,mc/if_hair,924,0,|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
45,techset,mc/lit#e6142445,233168,0,|mc/if_acce|material|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
46,image,i_if_acce_c,92,393216,|mc/if_acce|material|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
47,material,mc/if_acce,1236,0,|c_hro_minister_said_prisoner_fb|xmodel|zone_source/core_mod.zone|csv
48,xmodelmesh,xmodel_if_100a4a27054,632,475152,|c_t7_mp_warrior_mpc_fb1_skin1|xmodel|zone_source/core_mod.zone|csv
49,xmodel,c_t7_mp_warrior_mpc_fb1_skin1,18332,0,|zone_source/core_mod.zone|csv
50,xmodelmesh,xmodel_if_head_1006ee85a7a,424,143536,|c_t7_mp_warrior_mpc_head4_skin8|xmodel|zone_source/core_mod.zone|csv
51,xmodel,c_t7_mp_warrior_mpc_head1_skin1,6756,0,|zone_source/core_mod.zone|csv
52,xmodel,c_t7_mp_warrior_mpc_head1_skin2,2108,0,|zone_source/core_mod.zone|csv
53,xmodel,c_t7_mp_warrior_mpc_head1_skin3,2112,0,|zone_source/core_mod.zone|csv
54,xmodel,c_t7_mp_warrior_mpc_head1_skin4,2112,0,|zone_source/core_mod.zone|csv
55,xmodel,c_t7_mp_warrior_mpc_head1_skin5,2112,0,|zone_source/core_mod.zone|csv
56,xmodel,c_t7_mp_warrior_mpc_head1_skin6,2112,0,|zone_source/core_mod.zone|csv
57,xmodel,c_t7_mp_warrior_mpc_head1_skin7,2112,0,|zone_source/core_mod.zone|csv
58,xmodel,c_t7_mp_warrior_mpc_head1_skin8,2112,0,|zone_source/core_mod.zone|csv
59,xmodel,c_t7_mp_warrior_mpc_head2_skin1,2112,0,|zone_source/core_mod.zone|csv
60,xmodel,c_t7_mp_warrior_mpc_head2_skin2,2112,0,|zone_source/core_mod.zone|csv
61,xmodel,c_t7_mp_warrior_mpc_head2_skin3,2112,0,|zone_source/core_mod.zone|csv
62,xmodel,c_t7_mp_warrior_mpc_head2_skin4,2112,0,|zone_source/core_mod.zone|csv
63,xmodel,c_t7_mp_warrior_mpc_head2_skin5,2112,0,|zone_source/core_mod.zone|csv
64,xmodel,c_t7_mp_warrior_mpc_head2_skin6,2112,0,|zone_source/core_mod.zone|csv
