index,type,name,resident,streamed,parentStack
1,string,,2477,0,||assetlist
2,rawfile,dummy.cfg,17,0,|zone_source/cp_mod.zone|csv
3,techset,mc/lit#e6142445,653463,0,|mc/global_black|material|p7_hro_hendricks_mic_fb|xmodel|zone_source/cp_mod.zone|csv
4,image,$gray_32_one_channel,170,0,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
5,image,$identitynormalmap,302,0,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
6,image,$color_black_40,216,0,|mc/global_black|material|p7_hro_hendricks_mic_fb|xmodel|zone_source/cp_mod.zone|csv
7,material,mc/global_black,1520,0,|p7_hro_hendricks_mic_fb|xmodel|zone_source/cp_mod.zone|csv
8,xmodelmesh,tag_origin_animatec354447e,584,0,|p7_hro_hendricks_mic_fb|xmodel|zone_source/cp_mod.zone|csv
9,xmodel,c_hro_rachel_egypt_scarf,268,0,|zone_source/cp_mod.zone|csv
10,xmodel,p7_hro_hendricks_mic_fb,128,0,|zone_source/cp_mod.zone|csv
11,techset,mc/lit_nocull_plus_cc#e6142445,326387,0,|mc/nepgear_body00_tex|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
12,image,$white_ao,146,0,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
13,image,i_nepgear_body00_tex_n,239,1398128,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
14,image,i_nepgear_body00_tex_g,271,742728,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
15,image,$black,311,0,|mc/nepgear_body00_tex|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
16,image,i_nepgear_body00_tex_c,239,1419960,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
17,material,mc/nepgear_body00_tex,1195,0,|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
18,techset,mc/skin#e6142445,914513,0,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
19,image,$white_thickness,137,0,|mc/nepgear_body00_tex_skin|material|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
20,material,mc/nepgear_body00_tex_skin,1078,0,|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
21,xmodelmesh,xmodel_nepgear_body6759872d,440,300960,|c_nrc_assault_prologue_viewbody|xmodel|zone_source/cp_mod.zone|csv
22,xmodel,c_hro_player_female_egypt_viewbody,10052,0,|zone_source/cp_mod.zone|csv
23,xmodelmesh,xmodel_nepgear_viewlegsa2faab8e,440,216064,|c_hro_player_male_undercover_viewlegs|xmodel|zone_source/cp_mod.zone|csv
24,xmodel,c_hro_player_female_egypt_viewlegs,2100,0,|zone_source/cp_mod.zone|csv
25,xmodel,c_hro_player_female_aquifer_viewbody,3108,0,|zone_source/cp_mod.zone|csv
26,xmodel,c_hro_player_female_aquifer_viewlegs,712,0,|zone_source/cp_mod.zone|csv
27,xmodel,c_hro_player_female_armsdealer_viewbody,3112,0,|zone_source/cp_mod.zone|csv
28,xmodel,c_hro_player_female_armsdealer_viewlegs,712,0,|zone_source/cp_mod.zone|csv
29,xmodel,c_hro_player_female_blackstation_viewbody,3112,0,|zone_source/cp_mod.zone|csv
30,xmodel,c_hro_player_female_blackstation_viewlegs,712,0,|zone_source/cp_mod.zone|csv
31,xmodel,c_hro_player_female_endgame_viewbody,3112,0,|zone_source/cp_mod.zone|csv
32,xmodel,c_hro_player_female_endgame_viewlegs,712,0,|zone_source/cp_mod.zone|csv
33,xmodel,c_hro_player_female_newworld_viewbody,3112,0,|zone_source/cp_mod.zone|csv
34,xmodel,c_hro_player_female_newworld_viewlegs,712,0,|zone_source/cp_mod.zone|csv
35,xmodel,c_hro_player_female_prologue_viewbody,3112,0,|zone_source/cp_mod.zone|csv
36,xmodel,c_hro_player_female_prologue_viewlegs,712,0,|zone_source/cp_mod.zone|csv
37,xmodel,c_hro_player_female_zurich_viewbody,3104,0,|zone_source/cp_mod.zone|csv
38,xmodel,c_hro_player_female_zurich_viewlegs,704,0,|zone_source/cp_mod.zone|csv
39,xmodel,c_hro_player_female_lotustowers_viewbody,3112,0,|zone_source/cp_mod.zone|csv
40,xmodel,c_hro_player_female_lotustowers_viewlegs,712,0,|zone_source/cp_mod.zone|csv
41,xmodel,c_hro_player_female_vengance_viewbody,3112,0,|zone_source/cp_mod.zone|csv
42,xmodel,c_hro_player_female_vengance_viewlegs,712,0,|zone_source/cp_mod.zone|csv
43,xmodel,c_hro_player_female_infection_viewbody,3112,0,|zone_source/cp_mod.zone|csv
44,xmodel,c_hro_player_female_infection_viewlegs,712,0,|zone_source/cp_mod.zone|csv
45,xmodel,c_hro_player_female_sgen_viewbody,3104,0,|zone_source/cp_mod.zone|csv
46,xmodel,c_hro_player_female_sgen_viewlegs,704,0,|zone_source/cp_mod.zone|csv
47,xmodel,c_hro_player_female_ramses_viewbody,3104,0,|zone_source/cp_mod.zone|csv
48,xmodel,c_hro_player_female_ramses_viewlegs,704,0,|zone_source/cp_mod.zone|csv
49,xmodel,c_hro_player_female_undercover_viewbody,3112,0,|zone_source/cp_mod.zone|csv
50,xmodel,c_hro_player_female_undercover_viewlegs,712,0,|zone_source/cp_mod.zone|csv
51,xmodelmesh,xmodel_nepgear_viewhandseccec43b,320,393664,|c_nrc_assault_prologue_viewarms|xmodel|zone_source/cp_mod.zone|csv
52,xmodel,c_hro_player_female_egypt_viewhands,8548,0,|zone_source/cp_mod.zone|csv
53,xmodel,c_hro_player_female_aquifer_viewhands,3912,0,|zone_source/cp_mod.zone|csv
54,xmodel,c_hro_player_female_armsdealer_viewhands,3920,0,|zone_source/cp_mod.zone|csv
55,xmodel,c_hro_player_female_blackstation_viewhands,3920,0,|zone_source/cp_mod.zone|csv
56,xmodel,c_hro_player_female_endgame_viewhands,3912,0,|zone_source/cp_mod.zone|csv
57,xmodel,c_hro_player_female_newworld_viewhands,3912,0,|zone_source/cp_mod.zone|csv
58,xmodel,c_hro_player_female_prologue_viewhands,3912,0,|zone_source/cp_mod.zone|csv
59,xmodel,c_hro_player_female_zurich_viewhands,3912,0,|zone_source/cp_mod.zone|csv
60,xmodel,c_hro_player_female_lotustowers_viewhands,3920,0,|zone_source/cp_mod.zone|csv
61,xmodel,c_hro_player_female_vengance_viewhands,3912,0,|zone_source/cp_mod.zone|csv
62,xmodel,c_hro_player_female_infection_viewhands,3912,0,|zone_source/cp_mod.zone|csv
63,xmodel,c_hro_player_female_sgen_viewhands,3912,0,|zone_source/cp_mod.zone|csv
64,xmodel,c_hro_player_female_ramses_viewhands,3912,0,|zone_source/cp_mod.zone|csv
65,xmodel,c_hro_player_female_undercover_viewhands,3920,0,|zone_source/cp_mod.zone|csv
66,xmodel,c_nrc_assault_female_prologue_viewarms,3912,0,|zone_source/cp_mod.zone|csv
67,xmodelmesh,xmodel_nepgear_g_larmoff8dcde0c9,440,267184,|c_nrc_assault_prologue_viewbody_g_larmoff|xmodel|zone_source/cp_mod.zone|csv
68,xmodel,c_nrc_assault_prologue_viewbody_g_larmoff,7260,0,|zone_source/cp_mod.zone|csv
69,xmodelmesh,xmodel_nepgear_g_barmsoff69ec759c,440,232656,|c_nrc_assault_prologue_viewbody_g_barmsoff|xmodel|zone_source/cp_mod.zone|csv
70,xmodel,c_nrc_assault_prologue_viewbody_g_barmsoff,7256,0,|zone_source/cp_mod.zone|csv
71,xmodelmesh,xmodel_nepgear_g_larmspawn7bfd3314,312,34768,|c_nrc_assault_prologue_viewbody_g_larmspawn|xmodel|zone_source/cp_mod.zone|csv
72,xmodel,c_nrc_assault_prologue_viewbody_g_larmspawn,3260,0,|zone_source/cp_mod.zone|csv
73,xmodelmesh,xmodel_nepgear_g_rarmspawnea9f85c2,312,34864,|c_nrc_assault_prologue_viewbody_g_rarmspawn|xmodel|zone_source/cp_mod.zone|csv
